VAWA Offenses - Noncampus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,141644,Hawaii Pacific University,1,Main Campus,5827,0,0,0
2014,203085,Heidelberg University,1,Main Campus,1230,0,0,0
2014,166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,1,Main Campus,183,0,0,0
2014,235422,Heritage University,1,Main Campus,1241,0,0,0
2014,198695,High Point University,1,Main Campus,4399,0,0,0
2014,191621,Hilbert College,1,Main Campus,1012,0,0,0
2014,203128,Hiram College,1,Main Campus,1259,0,0,0
2014,191630,Hobart William Smith Colleges,1,Main Campus,2425,0,0,0
2014,232308,Hollins University,1,Hollins University,770,0,0,0
2014,150774,Holy Cross College,1,Main Campus,520,0,0,0
2014,115728,Holy Names University,1,Main Campus,1191,0,0,0
2014,162760,Hood College,1,Hood College,2365,0,0,0
2014,170301,Hope College,1,Main Campus,3455,0,0,0
2014,120537,Hope International University,1,Main Campus,1329,0,0,0
2014,191676,Houghton College,1,Main Campus,1073,0,0,0
2014,225399,Houston Baptist University,1,Main Campus,3128,0,0,0
2014,225548,Howard Payne University,1,Howard Payne University,1137,0,0,0
2014,131520,Howard University,1,Howard University Main Campus,10265,0,0,0
2014,164368,Hult International Business School,4,London Graduate Campus,814,0,0,0
2014,101435,Huntingdon College,1,Main Campus,1160,0,0,0
2014,150941,Huntington University,1,Main Campus,1209,0,0,0
2014,161165,Husson University,1,Husson University-Bangor,3415,0,0,0
2014,161165,Husson University,5,Husson University- Presque Isle,3415,0,0,0
2014,161165,Husson University,8,Husson University - Southern Maine Campus,3415,0,0,0
2014,145691,Illinois College,1,Main Campus,965,0,0,0
2014,145628,Illinois College of Optometry,1,Illinois College of  Optometry,638,0,0,0
2014,213011,Immaculata University,1,Main Campus,3299,0,0,0
2014,151290,Indiana Institute of Technology,1,Indiana Institute of Technology,7192,0,2,0
2014,151290,Indiana Institute of Technology,10,Fishers,7192,0,0,0
2014,151290,Indiana Institute of Technology,14,Munster,7192,0,0,0
2014,151801,Indiana Wesleyan University,1,Main Campus,14943,0,0,0
2014,462044,Institute for Doctoral Studies in the Visual Arts,1,Main Campus,52,0,0,0
2014,191968,Ithaca College,1,Main Campus,6587,0,0,0
2014,134945,Jacksonville University,1,JACKSONVILLE UNIVERSITY,4085,0,1,0
2014,231837,Jefferson College of Health Sciences,1,JCHS Main Campus,1131,0,1,1
2014,192040,Jewish Theological Seminary of America,1,Main Campus,405,0,0,0
2014,107141,John Brown University,1,Main Campus,2850,0,0,0
2014,203368,John Carroll University,1,Main Campus,3688,0,0,0
2014,162928,Johns Hopkins University,1,JHU  HOMEWOOD  CAMPUS- BALTIMORE- MARYLAND,21372,0,0,0
2014,162928,Johns Hopkins University,2,Johns Hopkins Medical Institutions- Baltimore- Md.,21372,0,0,0
2014,162928,Johns Hopkins University,11,Peabody Institute of Johns Hopkins University,21372,0,0,0
2014,439288,Johnson & Wales University-Denver,1,Johnson & Wales University -- Denver Campus,1391,0,0,0
2014,217235,Johnson & Wales University-Providence,1,Main Campus,9955,0,1,0
2014,198756,Johnson C Smith University,1,Main Campus  Johnson C. Smith University,1402,0,0,0
2014,101541,Judson College,1,Main Campus,378,0,0,0
2014,213251,Juniata College,1,Main Campus,1632,0,0,0
2014,170532,Kalamazoo College,1,Main Campus,1461,0,0,0
2014,177746,Kansas City Art Institute,1,Kansas City Art Institute,660,0,0,0
2014,155414,Kansas Wesleyan University,1,Main Campus,710,0,0,0
2014,440031,Keck Graduate Institute,1,Main Campus,310,0,0,0
2014,157030,Kentucky Mountain Bible College,1,Main Campus,84,0,0,0
2014,157076,Kentucky Wesleyan College,1,Kentucky Wesleyan College,709,0,0,1
2014,203535,Kenyon College,1,Main Campus,1662,0,0,0
2014,169983,Kettering University,1,Main Campus,2079,1,0,0
2014,192192,Keuka College,1,Main Campus,1997,0,0,0
2014,213303,Keystone College,1,Main Campus,1484,0,0,0
2014,220516,King University,1,Main Campus,2897,0,0,0
2014,213321,King's College,1,Main Campus,2308,0,0,0
2014,439701,King's University,7,Modesto Campus,692,0,0,0
2014,439701,King's University,8,Lubbock Campus,692,0,0,0
2014,146427,Knox College,1,Knox College,1399,0,0,0
2014,213358,La Roche College,1,Main Campus,1412,0,0,0
2014,117627,La Sierra University,1,La Sierra University,2510,0,0,0
2014,213385,Lafayette College,1,Main Campus,2503,0,0,0
2014,140234,LaGrange College,1,LaGrange College,964,0,0,0
2014,117168,Laguna College of Art and Design,1,Main Campus,566,0,0,1
2014,203580,Lake Erie College,1,Lake Erie College 01,1155,0,0,0
2014,407629,Lake Erie College of Osteopathic Medicine,1,Main Campus,3772,0,0,0
2014,146481,Lake Forest College,1,Main Campus,1626,0,0,0
2014,146490,Lake Forest Graduate School of Management,1,Main Campus,470,0,0,0
2014,238980,Lakeland College,1,Lakeland College,3973,0,0,0
