Criminal Offenses - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,442295,Ave Maria School of Law,1,Ave Maria School of Law,,0,0,0,,,0,,,0,0,0,0,0
2001,231420,Averett University,1,Main Campus,2396,0,0,0,,,0,,,0,0,1,0,0
2001,176628,Avila University,1,Main Campus,1644,0,0,0,,,0,,,0,0,3,1,0
2001,109785,Azusa Pacific University,1,Azusa (main campus),6835,0,0,0,,,0,,,1,0,31,7,1
2001,164580,Babson College,1,Main Campus,3328,0,0,0,,,0,,,0,1,1,0,0
2001,206817,Bacone College,1,Main Campus,973,0,0,0,,,0,,,0,0,15,0,0
2001,128586,BAIS BINYOMIN ACADEMY,1,BAIS BINYOMIN ACADEMY,61,0,0,0,,,0,,,0,0,0,0,0
2001,245777,Bais Medrash Elyon,1,Main Campus,69,0,0,0,,,0,,,0,0,0,0,0
2001,414708,Baker College Center for Graduate Studies,1,Baker College Center for Graduate Studies,1785,0,0,0,,,0,,,0,0,0,0,0
2001,419572,Baker College Corporate Services,1,Main Campus,897,0,0,0,,,0,,,0,0,0,0,0
2001,404073,Baker College of Auburn Hills,1,BAKER COLLEGE OF AUBURN HILLS,2199,0,0,0,,,0,,,0,0,0,0,0
2001,404648,Baker College of Cadillac,1,BAKER COLLEGE OF CADILLAC,1024,0,0,0,,,0,,,0,0,0,0,0
2001,404082,Baker College of Clinton Township,1,BAKER COLLEGE OF CLINTON TOWNSHIP,3091,0,0,0,,,0,,,0,0,0,0,0
2001,168847,Baker College of Flint,1,BAKER COLLEGE OF FLINT,4399,0,0,0,,,0,,,0,0,0,0,0
2001,414160,Baker College of Jackson,1,BAKER COLLEGE OF JACKSON,1236,0,0,1,,,0,,,0,0,0,0,0
2001,171298,Baker College of Muskegon,1,BAKER COLLEGE OF MUSKEGON,2929,0,0,1,,,0,,,0,0,4,0,0
2001,168838,Baker College of Owosso,1,BAKER COLLEGE OF OWOSSO,2067,0,0,0,,,0,,,0,0,1,0,0
2001,381617,Baker College of Port Huron,1,Baker College of Port Huron,1329,0,0,0,,,0,,,0,0,0,0,0
