Criminal Offenses - On campus,,,,,
Survey year,Institution name, Campus Name,Institution Size,Rape,Fondling
2014,American Broadcasting School-Oklahoma City,Main Campus,23,0,0
2014,American Career College at St Francis,St. Francis,202,0,0
2014,American Career College-Anaheim,Orange County,1415,0,0
2014,American Career College-Long Beach,Long Beach,516,0,0
2014,American Career College-Los Angeles,Los Angeles,1613,0,0
2014,American Career College-Ontario,Ontario,1483,0,0
2014,American College for Medical Careers,Main Campus,378,0,0
2014,American College of Acupuncture and Oriental Med,Main Campus,136,0,0
2014,American College of Hair Design Inc,Main Campus,29,0,0
2014,American College of Hairstyling-Des Moines,Main Campus,20,0,0
2014,American College of Healthcare,AMERICAN COLLEGE OF HEALTHCARE,240,0,0
2014,American College of Healthcare,Branch Campus,104,0,0
2014,American College of Traditional Chinese Medicine,Main Campus,240,0,0
2014,American Conservatory Theater,Main Campus,48,0,0
2014,American Educational College,Main Campus,669,0,0
2014,American Film Institute Conservatory,American Film Institute Conservatory,324,0,0
2014,American Hair Academy,American Hair Academy,27,0,0
2014,American Health Institute,Main Campus,73,0,0
2014,American Indian College Inc,Main Campus,91,0,0
2014,American Indian OIC Inc,American Indian OIC,99,0,0
2014,American Institute of Alternative Medicine,Main Campus,337,0,0
2014,American Institute of Beauty,Main Campus,50,0,0
2014,American Institute of Interior Design,Main Campus,28,0,0
2014,American Institute of Massage Therapy,Main Campus,38,0,0
2014,American Institute of Medical Sciences & Education,Main campus,330,0,0
2014,American Institute of Medical Sonography,Main Campus,48,0,0
2014,American Institute of Medical Technology,Main Campus,75,0,0
2014,American Institute of Technology,Main Campus,266,0,0
2014,American Institute of Technology,American Institute of Trucking-Denver,266,0,0
2014,American Institute of Technology,American Institute of Trucking ?Las Vegas,266,0,0
2014,American Institute-Margate,American Institute - Margate,250,0,0
2014,American Institute-Toms River,Main Campus,323,0,0
2014,American InterContinental University-Atlanta,AIU Atlanta,848,0,0
2014,American InterContinental University-Houston,American InterContinental University - Houston,535,0,0
2014,American International College,American International College,3629,1,0
2014,American Jewish University,Familian Campus,204,0,0
2014,American Medical Academy,Main Campus,247,0,0
2014,American Medical Sciences Center,Main Campus,84,0,0
2014,American Musical and Dramatic Academy,Main Campus,1735,0,0
2014,American Musical and Dramatic Academy,Los Angeles campus,1735,0,0
2014,American National University,American National University - Salem,1337,0,0
2014,American National University,American National University - Charlottesville,1337,0,0
2014,American National University,American National University - Martinsville,1337,0,0
2014,American National University,American National University - Lynchburg,1337,0,0
2014,American National University,American National University - Danville,1337,0,0
2014,American National University,American National University - Princeton,1337,0,0
2014,American National University,American National University - Harrisonburg,1337,0,0
2014,American National University,National College of Business & Technology-Bristol,1337,0,0
2014,American National University,National College of Business & Technology-Knoxville,1337,0,0
