case,lats,lons,name,size
0.0,43.122912,-89.327683,Madison Area Technical College,14351.0
0.0,43.122912,-89.327683,Madison Area Technical College,14351.0
0.0,43.122912,-89.327683,Madison Area Technical College,14351.0
0.0,43.122912,-89.327683,Madison Area Technical College,14351.0
0.0,43.122912,-89.327683,Madison Area Technical College,14351.0
0.0,43.122912,-89.327683,Madison Area Technical College,14351.0
0.0,44.3873,-68.803214,Maine Maritime Academy,727.0
0.0,41.807692,-77.07526,Mansfield University of Pennsylvania,3303.0
0.0,38.42261,-82.43065,Marshall University,16036.0
1.0,42.33693,-71.099537,Massachusetts College of Art and Design,2250.0
0.0,42.692427,-73.1035,Massachusetts College of Liberal Arts,1613.0
0.0,41.740538,-70.623953,Massachusetts Maritime Academy,853.0
0.0,47.504671,-97.322545,Mayville State University,755.0
0.0,30.180762,-93.215648,McNeese State University,7780.0
6.0,32.786017,-79.946853,Medical University of South Carolina,2297.0
1.0,44.957017,-93.074153,Metropolitan State University,6010.0
0.0,25.777717,-80.190856,Miami Dade College,51717.0
0.0,25.777717,-80.190856,Miami Dade College,51717.0
0.0,25.777717,-80.190856,Miami Dade College,51717.0
0.0,25.777717,-80.190856,Miami Dade College,51717.0
0.0,25.777717,-80.190856,Miami Dade College,51717.0
0.0,25.777717,-80.190856,Miami Dade College,51717.0
1.0,39.377448,-84.563221,Miami University-Hamilton,2205.0
0.0,39.523776,-84.35724,Miami University-Middletown,2059.0
26.0,39.509642,-84.731821,Miami University-Oxford,16311.0
2.0,42.72476,-84.473639,Michigan State University,44227.0
0.0,47.1183,-88.546403,Michigan Technological University,6603.0
0.0,47.1183,-88.546403,Michigan Technological University,6603.0
0.0,32.380119,-83.343639,Middle Georgia College,2163.0
0.0,32.380119,-83.343639,Middle Georgia College,2163.0
0.0,35.849139,-86.362094,Middle Tennessee State University,20073.0
0.0,32.028578,-102.10539,Midland College,5067.0
0.0,32.028578,-102.10539,Midland College,5067.0
0.0,32.028578,-102.10539,Midland College,5067.0
0.0,32.028578,-102.10539,Midland College,5067.0
0.0,33.877143,-98.51774,Midwestern State University,5969.0
47.0,39.998008,-76.354363,Millersville University of Pennsylvania,7556.0
0.0,46.866482,-96.763376,Minnesota State University Moorhead,7431.0
0.0,46.866482,-96.763376,Minnesota State University Moorhead,7431.0
0.0,44.147253,-93.998494,Minnesota State University-Mankato,13275.0
0.0,48.246877,-101.300624,Minot State University,3515.0
0.0,33.425002,-88.879658,Mississippi State University,16878.0
0.0,33.493305,-88.418601,Mississippi University for Women,2328.0
0.0,33.514142,-90.341274,Mississippi Valley State University,3081.0
0.0,37.095722,-94.460893,Missouri Southern State University,5899.0
0.0,37.197983,-93.276821,Missouri State University-Springfield,18252.0
6.0,37.955853,-91.7759,Missouri University of Science and Technology,4883.0
0.0,39.7575,-94.785643,Missouri Western State University,5102.0
0.0,45.666829,-111.049918,Montana State University,11670.0
0.0,45.796896,-108.523009,Montana State University-Billings,3818.0
0.0,48.541054,-109.686457,Montana State University-Northern,1589.0
0.0,46.012164,-112.557,Montana Tech of the University of Montana,1660.0
0.0,40.859233,-74.199455,Montclair State University,13855.0
0.0,38.188462,-83.429742,Morehead State University,9008.0
0.0,39.344235,-76.584238,Morgan State University,6498.0
0.0,42.891391,-75.604369,Morrisville State College,3130.0
0.0,36.61241,-88.323493,Murray State University,9635.0
0.0,27.384925,-82.55858,New College of Florida,629.0
0.0,40.709937,-74.08727,New Jersey City University,8823.0
0.0,40.741997,-74.177113,New Jersey Institute of Technology,8862.0
0.0,35.598982,-105.222824,New Mexico Highlands University,3364.0
0.0,34.066035,-106.907491,New Mexico Institute of Mining and Technology,1576.0
0.0,32.282875,-106.747841,New Mexico State University-Main Campus,15224.0
0.0,29.792689,-90.802906,Nicholls State University,7188.0
14.0,36.848262,-76.26393,Norfolk State University,6721.0
0.0,36.076737,-79.770152,North Carolina A & T State University,8319.0
0.0,35.974237,-78.898602,North Carolina Central University,5753.0
0.0,35.785111,-78.674517,North Carolina State University at Raleigh,29286.0
0.0,46.894523,-96.805689,North Dakota State University-Main Campus,10534.0
0.0,34.530254,-83.985934,North Georgia College & State University,3858.0
0.0,41.102919,-81.245302,Northeast Ohio Medical University,427.0
0.0,41.980567,-87.72013,Northeastern Illinois University,10999.0
0.0,35.920499,-94.968528,Northeastern State University,8534.0
0.0,35.180095,-111.657653,Northern Arizona University,19728.0
0.0,41.933791,-88.766065,Northern Illinois University,23783.0
0.0,41.933791,-88.766065,Northern Illinois University,23783.0
0.0,41.933791,-88.766065,Northern Illinois University,23783.0
0.0,41.933791,-88.766065,Northern Illinois University,23783.0
0.0,41.933791,-88.766065,Northern Illinois University,23783.0
0.0,39.029221,-84.465959,Northern Kentucky University,12530.0
0.0,39.029221,-84.465959,Northern Kentucky University,12530.0
0.0,39.029221,-84.465959,Northern Kentucky University,12530.0
0.0,46.558037,-87.403857,Northern Michigan University,8577.0
0.0,36.004073,-106.084395,Northern New Mexico College,1001.0
0.0,45.452555,-98.4837,Northern State University,3088.0
0.0,30.537148,-86.475467,Northwest Florida State College,6874.0
0.0,48.794334,-122.614576,Northwest Indian College,600.0
0.0,40.352706,-94.884341,Northwest Missouri State University,6625.0
1.0,44.767608,-85.581808,Northwestern Michigan College,4251.0
0.0,36.796313,-98.667596,Northwestern Oklahoma State University,2032.0
0.0,36.796313,-98.667596,Northwestern Oklahoma State University,2032.0
0.0,36.796313,-98.667596,Northwestern Oklahoma State University,2032.0
0.0,31.750675,-93.097715,Northwestern State University of Louisiana,9415.0
0.0,31.750675,-93.097715,Northwestern State University of Louisiana,9415.0
0.0,31.750675,-93.097715,Northwestern State University of Louisiana,9415.0
0.0,31.750675,-93.097715,Northwestern State University of Louisiana,9415.0
0.0,42.672549,-83.218895,Oakland University,15875.0
0.0,43.366813,-102.240331,Oglala Lakota College,1270.0
1.0,40.737828,-84.026195,Ohio State University-Lima Campus,1356.0
40.0,39.998389,-83.009001,Ohio State University-Main Campus,48477.0
0.0,40.797259,-82.578673,Ohio State University-Mansfield Campus,1495.0
0.0,40.579444,-83.085889,Ohio State University-Marion Campus,1390.0
0.0,40.068353,-82.447992,Ohio State University-Newark Campus,2079.0
0.0,39.328076,-83.00499,Ohio University-Chillicothe Campus,1645.0
0.0,40.080475,-80.962601,Ohio University-Eastern Campus,962.0
0.0,39.738752,-82.586069,Ohio University-Lancaster Campus,1664.0
28.0,39.32738,-82.098102,Ohio University-Main Campus,20288.0
0.0,38.525115,-82.666894,Ohio University-Southern Campus,1983.0
0.0,39.96098,-82.031063,Ohio University-Zanesville Campus,1655.0
0.0,36.594518,-101.638488,Oklahoma Panhandle State University,1226.0
0.0,36.138426,-96.004951,Oklahoma State University Center for Health Sciences,385.0
0.0,36.123085,-97.069743,Oklahoma State University-Main Campus,22008.0
0.0,36.123085,-97.069743,Oklahoma State University-Main Campus,22008.0
0.0,35.475272,-97.583291,Oklahoma State University-Oklahoma City,4519.0
0.0,36.884919,-76.309653,Old Dominion University,19627.0
1.0,47.575093,-122.635751,Olympic College,5897.0
0.0,45.498772,-122.686096,Oregon Health & Science University,1976.0
0.0,45.498772,-122.686096,Oregon Health & Science University,1976.0
0.0,42.257152,-121.785177,Oregon Institute of Technology,3070.0
15.0,44.564523,-123.27415,Oregon State University,18013.0
0.0,44.070679,-121.345776,Oregon State University-Cascades Campus,245.0
0.0,26.613214,-80.087104,Palm Beach State College,20109.0
0.0,26.613214,-80.087104,Palm Beach State College,20109.0
0.0,26.613214,-80.087104,Palm Beach State College,20109.0
0.0,26.613214,-80.087104,Palm Beach State College,20109.0
0.0,48.100618,-123.41248,Peninsula College,3579.0
0.0,41.2369,-77.0265,Pennsylvania College of Technology,5538.0
0.0,40.263635,-76.675608,Pennsylvania State University-College of Medicine,649.0
4.0,40.800732,-77.861644,Pennsylvania State University-Main Campus,40828.0
0.0,40.116995,-75.110661,Pennsylvania State University-Penn State Abington,3179.0
0.0,40.540682,-78.409112,Pennsylvania State University-Penn State Altoona,3823.0
0.0,40.678254,-80.296235,Pennsylvania State University-Penn State Beaver,759.0
0.0,40.357987,-75.972141,Pennsylvania State University-Penn State Berks,2329.0
0.0,39.928355,-75.447825,Pennsylvania State University-Penn State Brandywine,1649.0
0.0,42.119381,-79.983916,Pennsylvania State University-Penn State Erie-Behrend College,3708.0
0.0,40.052845,-75.521311,Pennsylvania State University-Penn State Great Valley,1687.0
0.0,40.344474,-79.827262,Pennsylvania State University-Penn State Greater Allegheny,951.0
0.0,40.205234,-76.741961,Pennsylvania State University-Penn State Harrisburg,3239.0
0.0,40.984157,-76.031567,Pennsylvania State University-Penn State Hazleton,1353.0
0.0,40.557651,-75.401798,Pennsylvania State University-Penn State Lehigh Valley,697.0
